ID	Synonyms	Definition	Definition in Sorani
ENG20-00001740-n	entity; 	that which is perceived or known or inferred to have its own distinct existence (living or nonliving)	ئەوەی(گیاندار یان نەژی) کە بە هەبوونی تایبەتەوە لێی‌دەگەیندرێ یان دەناسدرێ یان هەستی پێ دەکرێ.
ENG20-00002645-n	whole; whole thing; unit; 	an assemblage of parts that is regarded as a single entity	پێکەوەییی بەشانێک کە وەکوو هەبوونێکی هاوبەش چاویان لێ دەکرێ.
ENG20-00003226-n	organism; being; 	a living thing that has (or can develop) the ability to act or function independently	شتێکی گیاندارە کە بڕستی کارکردن یان بەڕێوەبردنی سەربەخۆی هەیە(یان دەتوانێ پەرەی داتێ).
ENG20-00004609-n	life; 	living things collectively	هەموو گیاندارەکان پێکڕا
ENG20-00004824-n	cell; 	(biology) the basic structural and functional unit of all organisms; cells may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals	(بایولۆژی) بناغەییترین بەشی هەموو ژینەوەرەکان لە باری پێکهاتە و شێوازی کردارە. سێلەکان دەتوانن وەکوو بەشانی سەربەخۆی ژیان رە چاو بگیردرێن(وەکوو ژینەوەرە تاقەسێلییەکان) یان پێکهێنەری کۆلۆنییەکان یان شانە سێلییەکان لە گیاکان و گیانلەبەرە پێشکەوتووترەکاندا بن.
ENG20-00005598-n	causal agent; cause; causal agency; 	any entity that causes events to happen	هەبوونێک کە دەبێتە هۆی روودانی رووداوەکان. 
ENG20-00006026-n	person; individual; someone; somebody; mortal; human; soul; 	a human being	هەبوونی مرۆڤێک.
ENG20-00007638-v	blink; wink; nictitate; nictate; 	briefly shut the eyes	بەگورجی پێڵۆ لێدان.
ENG20-00008853-v	shed; molt; exuviate; moult; slough; 	cast off hair, skin, horn, or feathers	کوڵ کردنەوەی قژ، کوڵکە، پێست، شاخ، ستر، پەڕ یان تووک.
ENG20-00009760-v	move involuntarily; move reflexively; 	move in an uncontrolled manner	بە چەشنێکی نەخواستراو جووڵانەوە.
ENG20-00009947-v	act involuntarily; act reflexively; 	act in an uncontrolled manner	بە چەشنێکی نەخواستراو ئاکارکردن.
ENG20-00010141-v	act; behave; do; 	behave in a certain manner; show a certain behavior; conduct or comport oneself	بە چەشنێکی دیاریکراو ئاکار کردن؛ نواندنی ئاکارێکی دیاریکراو؛ بەڕێوەبردن یان راهێنانی کەسێک.
ENG20-00011955-v	make; 	act in a certain way so as to acquire	جووڵانەوە بە پێی ئەو رێگایە کە ئامانجێکە بۆ بە دەست هێنان.
ENG20-00012301-v	freeze; 	suddenly behave coldly and formally	لەپڕ بەساردی یان بەگوڕ ئاکار کردن.
ENG20-00012748-n	animal; animate being; beast; brute; creature; fauna; 	a living organism characterized by voluntary movement	ژینەوەرێکی گیاندارە کە بە جووڵانەوە خۆویستانەکانی دەناسدرێ.
ENG20-00013721-v	shake; didder; 	move with or as if with a tremor	بە شەکەشەک جووڵانەوە یان گواستنەوە بەچەشنێک کە لەرەلەرە بە خۆ بخا.
ENG20-00013888-v	shiver; shudder; 	shake, as from cold	لە سەرمان رەق هەڵاتن.
ENG20-00014092-v	rest; 	be at rest	پشوو دان.
ENG20-00014236-v	be active; move; 	be in a state of action	لەجم‌وجووڵدا بوون.
ENG20-00014429-v	sleep; kip; slumber; log Z's; catch some Z's; 	be asleep	لەخەودا بوون.
